Table S3. Weighted sum activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
16,0.2,125,2560.9
16,0.2,150,2814.3
16,0.2,175,2606.8
16,0.2,200,2764.1
16,0.2,225,2903.4
16,0.2,250,3028.7
16,0.2,275,3141.8
16,0.2,300,3244.8
16,0.2,325,3338.8
16,0.2,350,3424.8
16,0.2,375,3505.3
16,0.2,400,3577.7
16,0.2,425,3646.5
16,0.2,450,3709.5
16,0.2,475,3768.9
16,0.2,500,3823.7
16,0.5,0,736.5
16,0.5,25,1339.5
16,0.5,50,1465.3
16,0.5,75,1603.5
16,0.5,100,1880.7
16,0.5,125,2111.8
16,0.5,150,2307.7
16,0.5,175,2479
16,0.5,200,2625.8
16,0.5,225,2757.3
16,0.5,250,2872.4
16,0.5,275,2977
16,0.5,300,3068.8
16,0.5,325,3154.5
16,0.5,350,3230.3
16,0.5,375,3300.9
16,0.5,400,3366.8
16,0.5,425,3423.9
16,0.5,450,3479.4
16,0.5,475,3529.5
16,0.5,500,3576.9
16,1,0,698.5
16,1,25,1139.7
16,1,50,1282
16,1,75,1637.1
16,1,100,1925.7
16,1,125,2167.3
16,1,150,2372.6
16,1,175,2552.5
16,1,200,1743.6
16,1,225,1803
16,1,250,1855.6
16,1,275,1900
16,1,300,1939.8
16,1,325,1973.8
16,1,350,2005.1
16,1,375,2032.8
16,1,400,2058.1
16,1,425,2081.3
16,1,450,2101.1
16,1,475,2120.4
16,1,500,2136.3
16,2,0,698.3
16,2,25,1083.3
16,2,50,1283.9
16,2,75,1640
16,2,100,1929.6
16,2,125,1487.3
16,2,150,1592.6
16,2,175,1677.5
16,2,200,1748.5
16,2,225,1808.2
16,2,250,1861
16,2,275,1905.5
16,2,300,1945.5
16,2,325,1979.7
16,2,350,2011.1
16,2,375,2038.9
16,2,400,2064.4
16,2,425,2087.7
16,2,450,2107.5
16,2,475,2127
16,2,500,2142.9
18,0.02,0,3149.1
18,0.02,25,3484.7
18,0.02,50,3802.9
18,0.02,75,4079.1
18,0.02,100,4281.8
18,0.02,125,4430.5
18,0.02,150,4517.7
18,0.02,175,4574.5
18,0.02,200,4602.6
18,0.02,225,4635.3
18,0.02,250,4598.7
18,0.02,275,4617.5
18,0.02,300,4593.6
18,0.02,325,4602.9
18,0.02,350,4584.2
18,0.02,375,4538.6
18,0.02,400,4467.2
18,0.02,425,4468.2
18,0.02,450,4456
18,0.02,475,4431.4
18,0.02,500,4394.9
18,0.05,0,1572.1
18,0.05,25,2250.5
18,0.05,50,2803.1
18,0.05,75,3154.2
18,0.05,100,3341.2
18,0.05,125,3463.4
18,0.05,150,3558.3
18,0.05,175,3588.4
18,0.05,200,3610.5
18,0.05,225,3686.3
18,0.05,250,3716.2
18,0.05,275,3702.1
18,0.05,300,3645.6
18,0.05,325,3762.5
18,0.05,350,3646.4
18,0.05,375,3738.5
18,0.05,400,3824.6
18,0.05,425,3905
18,0.05,450,3707.1
18,0.05,475,3770.5
18,0.05,500,3830.2
18,0.1,0,1020.3
18,0.1,25,1782.7
18,0.1,50,2220.1
18,0.1,75,2423.2
18,0.1,100,2492.3
18,0.1,125,2573.9
18,0.1,150,2663.2
18,0.1,175,2878
18,0.1,200,2828.4
18,0.1,225,2982.4
18,0.1,250,2806.2
18,0.1,275,2914.1
18,0.1,300,3012.7
18,0.1,325,3103.4
18,0.1,350,3187.2
18,0.1,375,3265.1
18,0.1,400,3337.1
18,0.1,425,3404.7
18,0.1,450,3468.1
18,0.1,475,3012.2
18,0.1,500,3054.6
18,0.2,0,752
18,0.2,25,1447.5
18,0.2,50,1676.2
18,0.2,75,1778.4
18,0.2,100,1922.8
18,0.2,125,2175.3
18,0.2,150,2075.3
18,0.2,175,2231.8
18,0.2,200,2370.4
18,0.2,225,2493.4
18,0.2,250,2604.3
18,0.2,275,2704.5
18,0.2,300,2795.9
18,0.2,325,2879.3
18,0.2,350,2955.8
18,0.2,375,3027.6
18,0.2,400,3092
18,0.2,425,3153.4
18,0.2,450,3209.5
18,0.2,475,3262.6
18,0.2,500,3311.5
18,0.5,0,614.1
18,0.5,25,1083.8
18,0.5,50,1237.3
18,0.5,75,1367.9
18,0.5,100,1610.3
18,0.5,125,1813.2
18,0.5,150,1985.6
18,0.5,175,2136.8
18,0.5,200,2266.5
