Table S2. Single node activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
6,0.5,490,5
6,0.5,500,5
6,1,0,45
6,1,10,30
6,1,20,15
6,1,30,10
6,1,40,5
6,1,50,5
6,1,60,5
6,1,70,5
6,1,80,5
6,1,90,5
6,1,100,5
6,1,110,5
6,1,120,5
6,1,130,5
6,1,140,5
6,1,150,5
6,1,160,5
6,1,170,5
6,1,180,5
6,1,190,5
6,1,200,5
6,1,210,5
6,1,220,5
6,1,230,5
6,1,240,5
6,1,250,5
6,1,260,5
6,1,270,5
6,1,280,5
6,1,290,5
6,1,300,5
6,1,310,5
6,1,320,5
6,1,330,5
6,1,340,5
6,1,350,5
6,1,360,5
6,1,370,5
6,1,380,5
6,1,390,5
6,1,400,5
6,1,410,5
6,1,420,5
6,1,430,5
6,1,440,5
6,1,450,5
6,1,460,5
6,1,470,5
6,1,480,5
6,1,490,5
6,1,500,5
6,2,0,45
6,2,10,30
6,2,20,15
6,2,30,5
6,2,40,5
6,2,50,5
6,2,60,5
6,2,70,5
6,2,80,5
6,2,90,5
6,2,100,5
6,2,110,5
6,2,120,5
6,2,130,5
6,2,140,5
6,2,150,5
6,2,160,5
6,2,170,5
6,2,180,5
6,2,190,5
6,2,200,5
6,2,210,5
6,2,220,5
6,2,230,5
6,2,240,5
6,2,250,5
6,2,260,5
6,2,270,5
6,2,280,5
6,2,290,5
6,2,300,5
6,2,310,5
6,2,320,5
6,2,330,5
6,2,340,5
6,2,350,5
6,2,360,5
6,2,370,5
6,2,380,5
6,2,390,5
6,2,400,5
6,2,410,5
6,2,420,5
6,2,430,5
6,2,440,5
6,2,450,5
6,2,460,5
6,2,470,5
6,2,480,5
6,2,490,5
6,2,500,5
6,5,0,45
6,5,10,30
6,5,20,15
6,5,30,5
6,5,40,5
6,5,50,5
6,5,60,5
6,5,70,5
6,5,80,5
6,5,90,5
6,5,100,5
6,5,110,5
6,5,120,5
6,5,130,5
6,5,140,5
6,5,150,5
6,5,160,5
6,5,170,5
6,5,180,5
6,5,190,5
6,5,200,5
6,5,210,5
6,5,220,5
6,5,230,5
6,5,240,5
6,5,250,5
6,5,260,5
6,5,270,5
6,5,280,5
6,5,290,5
6,5,300,5
6,5,310,5
6,5,320,5
6,5,330,5
6,5,340,5
6,5,350,5
6,5,360,5
6,5,370,5
6,5,380,5
6,5,390,5
6,5,400,5
6,5,410,5
6,5,420,5
6,5,430,5
6,5,440,5
6,5,450,5
6,5,460,5
6,5,470,5
6,5,480,5
6,5,490,5
6,5,500,5
6,10,0,45
6,10,10,30
6,10,20,15
6,10,30,5
6,10,40,5
6,10,50,5
6,10,60,5
6,10,70,5
6,10,80,5
6,10,90,5
6,10,100,5
6,10,110,5
6,10,120,5
6,10,130,5
6,10,140,5
6,10,150,5
6,10,160,5
6,10,170,5
6,10,180,5
6,10,190,5
6,10,200,5
6,10,210,5
6,10,220,5
6,10,230,5
6,10,240,5
6,10,250,5
6,10,260,5
6,10,270,5
6,10,280,5
6,10,290,5
6,10,300,5
6,10,310,5
6,10,320,5
6,10,330,5
6,10,340,5
6,10,350,5
6,10,360,5
6,10,370,5
6,10,380,5
6,10,390,5
6,10,400,5
6,10,410,5
6,10,420,5
6,10,430,5
6,10,440,5
6,10,450,5
6,10,460,5
6,10,470,5
6,10,480,5
6,10,490,5
6,10,500,5
8,0.02,0,175
8,0.02,10,170
8,0.02,20,165
8,0.02,30,160
8,0.02,40,155
8,0.02,50,145
8,0.02,60,140
8,0.02,70,135
8,0.02,80,125
8,0.02,90,120
8,0.02,100,115
8,0.02,110,110
8,0.02,120,105
8,0.02,130,100
8,0.02,140,95
8,0.02,150,95
8,0.02,160,90
8,0.02,170,85
8,0.02,180,85
8,0.02,190,80
8,0.02,200,80
8,0.02,210,75
8,0.02,220,75
8,0.02,230,70
8,0.02,240,70
8,0.02,250,70
8,0.02,260,65
8,0.02,270,65
8,0.02,280,65
8,0.02,290,60
8,0.02,300,60
8,0.02,310,60
8,0.02,320,60
8,0.02,330,55
8,0.02,340,55
8,0.02,350,55
8,0.02,360,55
8,0.02,370,55
8,0.02,380,50
8,0.02,390,50
8,0.02,400,50
8,0.02,410,50
8,0.02,420,50
8,0.02,430,50
8,0.02,440,50
8,0.02,450,45
8,0.02,460,45
8,0.02,470,45
8,0.02,480,45
8,0.02,490,45
8,0.02,500,45
8,0.05,0,115
8,0.05,10,105
8,0.05,20,100
8,0.05,30,90
8,0.05,40,80
8,0.05,50,75
8,0.05,60,65
8,0.05,70,60
8,0.05,80,55
8,0.05,90,50
8,0.05,100,45
8,0.05,110,40
8,0.05,120,40
8,0.05,130,35
8,0.05,140,35
8,0.05,150,30
8,0.05,160,30
8,0.05,170,30
8,0.05,180,30
8,0.05,190,25
8,0.05,200,25
8,0.05,210,25
8,0.05,220,25
8,0.05,230,25
8,0.05,240,25
8,0.05,250,20
8,0.05,260,20
8,0.05,270,20
8,0.05,280,20
8,0.05,290,20
8,0.05,300,20
8,0.05,310,20
8,0.05,320,20
8,0.05,330,20
8,0.05,340,20
8,0.05,350,20
8,0.05,360,20
8,0.05,370,20
8,0.05,380,20
8,0.05,390,20
8,0.05,400,20
8,0.05,410,15
8,0.05,420,15
8,0.05,430,15
8,0.05,440,15
8,0.05,450,15
8,0.05,460,15
8,0.05,470,15
8,0.05,480,15
8,0.05,490,15
8,0.05,500,15
8,0.1,0,85
8,0.1,10,75
8,0.1,20,65
8,0.1,30,50
8,0.1,40,45
8,0.1,50,35
8,0.1,60,30
8,0.1,70,25
8,0.1,80,20
8,0.1,90,20
8,0.1,100,20
8,0.1,110,15
8,0.1,120,15
8,0.1,130,15
8,0.1,140,15
8,0.1,150,15
8,0.1,160,15
8,0.1,170,15
